time,pr_mean,pr_stdev,pr_min,pr_max
1952-02-23 18:00:00,0.15441176,0.13978326,0.0,0.5
1952-02-24 18:00:00,0.1264706,0.09489568,0.0,0.4
1952-02-25 18:00:00,0.00882353,0.028363679,0.0,0.1
1952-02-26 18:00:00,0.0,0.0,0.0,0.0
1952-02-27 18:00:00,0.0029411765,0.016895773,0.0,0.1
1952-02-28 18:00:00,0.41764706,0.46650806,0.0,2.4
1952-02-29 18:00:00,3.2367647,0.8986762,0.1,4.9
1952-03-01 18:00:00,2.5647058,0.31565276,2.1,3.8
1952-03-02 18:00:00,0.066176474,0.08678963,0.0,0.4
1952-03-03 18:00:00,0.0,0.0,0.0,0.0
1952-03-04 18:00:00,0.039705884,0.08934353,0.0,0.4
1952-03-05 18:00:00,10.59853,2.351876,7.5,16.1
1952-03-06 18:00:00,0.2,0.32267267,0.0,1.1
1952-03-07 18:00:00,0.0,0.0,0.0,0.0
1952-03-08 18:00:00,0.0,0.0,0.0,0.0
1952-03-09 18:00:00,0.0,0.0,0.0,0.0
1952-03-10 18:00:00,3.2088234,1.3123548,0.5,5.7
1952-03-11 18:00:00,3.214706,0.47380334,2.4,4.1
1952-03-12 18:00:00,1.0058824,0.53684324,0.3,2.2
1952-03-13 18:00:00,0.6514706,0.19740422,0.1,1.1
